Wilayah Jawa Barat,IDKAB2,tahun_2018,tahun_2019,tahun_2020,,,,
Provinsi Jawa Barat,0,48683861,49316712,49935858,,,,
Bogor,3201,5840907,5965410,6088233,,,,
Sukabumi,3202,2460693,2466272,2470219,,,,
Cianjur,3203,2260620,2263072,2264328,,,,
Bandung,3204,3717291,3775279,3831505,,,,
Garut,3205,2606399,2622425,2636637,,,,
Tasikmalaya,3206,1751295,1754128,1755710,,,,
Ciamis,3207,1188629,1195176,1201685,,,,
Kuningan,3208,1074497,1080804,1087105,,,,
Cirebon,3209,2176213,2192903,2209633,,,,
Majalengka,3210,1199300,1205034,1210709,,,,
Sumedang,3211,1149906,1152400,1154428,,,,
Indramayu,3212,1719187,1728469,1737624,,,,
Subang,3213,1579018,1595825,1612576,,,,
Purwakarta,3214,953414,962893,971889,,,,
Karawang,3215,2336009,2353915,2370488,,,,
Bekasi,3216,3630907,3763886,3899017,,,,
Bandung Barat,3217,1683711,1699896,1714982,,,,
Pangandaran,3218,397187,399284,401493,,,,
Kota Bogor,3271,1096828,1112081,1126927,,,,
Kota Sukabumi,3272,326282,328680,330691,,,,
Kota Bandung,3273,2503708,2507888,2510103,,,,
Kota Cirebon,3274,316277,319312,322322,,,,
Kota Bekasi,3275,2931897,3003923,3075690,,,,
Kota Depok,3276,2330333,2406826,2484186,,,,
Kota Cimahi,3277,607811,614304,620393,,,,
Kota Tasikmalaya,3278,662723,663517,663986,,,,
Kota Banjar,3279,182819,183110,183299,,,,
